dim1,dim2,dim3,feat_eng_name,feat_chn_name
信息概要,信贷交易授信与负债信息概要,,pboc_type_cnt,“信贷交易授信及负债信息概要”下，账户类型数
信息概要,信贷交易授信与负债信息概要,,pboc_type_prop,“信贷交易授信及负债信息概要”下，账户类型占比
信息概要,信贷交易授信与负债信息概要,非循环贷账户信息汇总,pboc_ncl_org_cnt,“信贷交易授信及负债信息概要”下，“非循环贷账户信息汇总”的“管理机构数”
信息概要,信贷交易授信与负债信息概要,非循环贷账户信息汇总,pboc_ncl_account_cnt,“信贷交易授信及负债信息概要”下，“非循环贷账户信息汇总”的“账户数”
信息概要,信贷交易授信与负债信息概要,非循环贷账户信息汇总,pboc_ncl_credit_amt,“信贷交易授信及负债信息概要”下，“非循环贷账户信息汇总”的“授信总额”
信息概要,信贷交易授信与负债信息概要,非循环贷账户信息汇总,pboc_ncl_balance_amt,“信贷交易授信及负债信息概要”下，“非循环贷账户信息汇总”的“余额”
信息概要,信贷交易授信与负债信息概要,非循环贷账户信息汇总,pboc_ncl_needpay_6m_avg_amt,“信贷交易授信及负债信息概要”下，“非循环贷账户信息汇总”的“最近6个月平均应还款”
信息概要,信贷交易授信与负债信息概要,非循环贷账户信息汇总,pboc_ncl_balance_amt_div_credit_amt,“信贷交易授信及负债信息概要”下，“非循环贷账户信息汇总”中余额与授信总额的比值
信息概要,信贷交易授信与负债信息概要,非循环贷账户信息汇总,pboc_ncl_account_cnt_avg,“信贷交易授信及负债信息概要”下，“非循环贷账户信息汇总”的每个管理机构下“账户数”的平均值
信息概要,信贷交易授信与负债信息概要,非循环贷账户信息汇总,pboc_ncl_credit_amt_avg,“信贷交易授信及负债信息概要”下，“非循环贷账户信息汇总”的每个管理机构下“授信总额”的平均值
信息概要,信贷交易授信与负债信息概要,非循环贷账户信息汇总,pboc_ncl_balance_amt_avg,“信贷交易授信及负债信息概要”下，“非循环贷账户信息汇总”的每个管理机构下“余额”的平均值
信息概要,信贷交易授信与负债信息概要,非循环贷账户信息汇总,pboc_ncl_shouldpay_6m_avg_amt_avg,“信贷交易授信及负债信息概要”下，“非循环贷账户信息汇总”的每个管理机构下“最近6个月平均应还款”的平均值
